position   Delta_Phi_plasma  Delta_Phi_capillary  Delta_Phi_dipole_l   Delta_Phi_dipole_s         Delta_Phi_total_l        Delta_Phi_total_s     L_dephasing_l   L_dephasing_s  
(mm)       (rad/pi)          (rad/pi)             (rad/pi)             (rad/pi)                   (rad/pi)                 (rad/pi)              (mm)            (mm)           
0.000000000e+00       -4.671859353e-01            -2.663571027e-02                7.035883626e-01                1.191299794e-02                      2.097667171e-01                    -4.819086476e-01                 2.383600254e-01           1.037541041e-01           
5.000000000e-02       -9.355007979e-01            -5.327142053e-02                1.403643683e+00                2.384446566e-02                      4.148714647e-01                    -9.649277528e-01                 2.437778772e-01           1.035155742e-01           
1.000000000e-01       -1.404877596e+00            -7.990713080e-02                2.100183235e+00                3.579444682e-02                      6.153985086e-01                    -1.448990280e+00                 2.493429267e-01           1.032924410e-01           
1.500000000e-01       -1.875250040e+00            -1.065428411e-01                2.793224179e+00                4.776301289e-02                      8.114312976e-01                    -1.934029868e+00                 2.550593717e-01           1.030843691e-01           
2.000000000e-01       -2.346552547e+00            -1.331785513e-01                3.482783566e+00                5.975025949e-02                      1.003052468e+00                    -2.419980839e+00                 2.609315027e-01           1.028910385e-01           
2.500000000e-01       -2.818720235e+00            -1.598142616e-01                4.168878345e+00                7.175630299e-02                      1.190343848e+00                    -2.906778194e+00                 2.669637014e-01           1.027121439e-01           
3.000000000e-01       -3.291688929e+00            -1.864499719e-01                4.851525360e+00                8.378127744e-02                      1.373386459e+00                    -3.394357623e+00                 2.731604390e-01           1.025473942e-01           
3.500000000e-01       -3.765395156e+00            -2.130856821e-01                5.530741359e+00                9.582533169e-02                      1.552260521e+00                    -3.882655506e+00                 2.795262733e-01           1.023965120e-01           
4.000000000e-01       -4.239776147e+00            -2.397213924e-01                6.206542995e+00                1.078886268e-01                      1.727045455e+00                    -4.371608912e+00                 2.860658460e-01           1.022592324e-01           
4.500000000e-01       -4.714769838e+00            -2.663571027e-01                6.878946825e+00                1.199713338e-01                      1.897819885e+00                    -4.861155606e+00                 2.927838792e-01           1.021353031e-01           
5.000000000e-01       -5.190314867e+00            -2.929928129e-01                7.547969321e+00                1.320736312e-01                      2.064661641e+00                    -5.351234049e+00                 2.996851710e-01           1.020244835e-01           
5.500000000e-01       -5.666350580e+00            -3.196285232e-01                8.213626863e+00                1.441957035e-01                      2.227647760e+00                    -5.841783399e+00                 3.067745904e-01           1.019265441e-01           
6.000000000e-01       -6.142817022e+00            -3.462642335e-01                8.875935747e+00                1.563377388e-01                      2.386854492e+00                    -6.332743516e+00                 3.140570717e-01           1.018412663e-01           
