position   Delta_Phi_plasma  Delta_Phi_capillary  Delta_Phi_dipole_l   Delta_Phi_dipole_s         Delta_Phi_total_l        Delta_Phi_total_s    I_peak    I_d2_qwf     
(mm)       (rad/pi)          (rad/pi)             (rad/pi)             (rad/pi)                   (rad/pi)                 (rad/pi)             (W/cm^2)  (W/cm^2)     
0.000000000e+00       -4.364758942e-01            -2.663571027e-02                0.000000000e+00                0.000000000e+00                      -4.631116045e-01                    -4.631116045e-01                1.819547258e+15     1.818208020e+15        
5.000000000e-02       -8.735194084e-01            -5.327142053e-02                5.495444353e-01                9.278145103e-03                      -3.772463936e-01                    -9.175126838e-01                1.812597852e+15     1.811218389e+15        
1.000000000e-01       -1.311101753e+00            -7.990713080e-02                1.096896283e+00                1.857015764e-02                      -2.941126010e-01                    -1.372438726e+00                1.805671971e+15     1.804255183e+15        
1.500000000e-01       -1.749194325e+00            -1.065428411e-01                1.642061651e+00                2.787605971e-02                      -2.136755158e-01                    -1.827861107e+00                1.798769530e+15     1.797318302e+15        
2.000000000e-01       -2.187768713e+00            -1.331785513e-01                2.185047845e+00                3.719587339e-02                      -1.358994190e-01                    -2.283751391e+00                1.791890447e+15     1.790407650e+15        
2.500000000e-01       -2.626796689e+00            -1.598142616e-01                2.725863226e+00                4.652962068e-02                      -6.074772479e-02                    -2.740081330e+00                1.785034639e+15     1.783523127e+15        
3.000000000e-01       -3.066250218e+00            -1.864499719e-01                3.264517075e+00                5.587732356e-02                      1.181688566e-02                    -3.196822866e+00                1.778202026e+15     1.776664637e+15        
3.500000000e-01       -3.506101448e+00            -2.130856821e-01                3.801019470e+00                6.523900398e-02                      8.183233988e-02                    -3.653948126e+00                1.771392529e+15     1.769832084e+15        
4.000000000e-01       -3.946322720e+00            -2.397213924e-01                4.335381170e+00                7.461468383e-02                      1.493370576e-01                    -4.111429429e+00                1.764606071e+15     1.763025369e+15        
4.500000000e-01       -4.386886560e+00            -2.663571027e-01                4.867613504e+00                8.400438495e-02                      2.143698422e-01                    -4.569239277e+00                1.757842574e+15     1.756244398e+15        
5.000000000e-01       -4.827765682e+00            -2.929928129e-01                5.397728276e+00                9.340812916e-02                      2.769697805e-01                    -5.027350366e+00                1.751101964e+15     1.749489074e+15        
5.500000000e-01       -5.268932991e+00            -3.196285232e-01                5.925737663e+00                1.028259382e-01                      3.371761490e-01                    -5.485735576e+00                1.744384167e+15     1.742759303e+15        
6.000000000e-01       -5.710361576e+00            -3.462642335e-01                6.451654138e+00                1.122578338e-01                      3.950283282e-01                    -5.944367976e+00                1.737689113e+15     1.736054989e+15        
6.500000000e-01       -6.152024718e+00            -3.728999437e-01                6.975490385e+00                1.217038377e-01                      4.505657233e-01                    -6.403220824e+00                1.731016730e+15     1.729376038e+15        
7.000000000e-01       -6.593895883e+00            -3.995356540e-01                7.497259228e+00                1.311639714e-01                      5.038276914e-01                    -6.862267566e+00                1.724366950e+15     1.722722356e+15        
7.500000000e-01       -7.035948727e+00            -4.261713643e-01                8.016973567e+00                1.406382566e-01                      5.548534759e-01                    -7.321481835e+00                1.717739707e+15     1.716093849e+15        
8.000000000e-01       -7.478157094e+00            -4.528070745e-01                8.534646314e+00                1.501267147e-01                      6.036821452e-01                    -7.780837454e+00                1.711134936e+15     1.709490425e+15        
8.500000000e-01       -7.920495015e+00            -4.794427848e-01                9.050290340e+00                1.596293673e-01                      6.503525394e-01                    -8.240308433e+00                1.704552573e+15     1.702911989e+15        
9.000000000e-01       -8.362936710e+00            -5.060784951e-01                9.563918426e+00                1.691462358e-01                      6.949032202e-01                    -8.699868970e+00                1.697992557e+15     1.696358451e+15        
9.500000000e-01       -8.805456587e+00            -5.327142053e-01                1.007554322e+01                1.786773416e-01                      7.373724280e-01                    -9.159493451e+00                1.691454830e+15     1.689829716e+15        
1.000000000e+00       -9.248029242e+00            -5.593499156e-01                1.058517720e+01                1.882227060e-01                      7.777980424e-01                    -9.619156451e+00                1.684939334e+15     1.683325695e+15        
1.050000000e+00       -9.690629458e+00            -5.859856259e-01                1.109283263e+01                1.977823504e-01                      8.162175482e-01                    -1.007883273e+01                1.678446014e+15     1.676846295e+15        
1.100000000e+00       -1.013323221e+01            -6.126213361e-01                1.159852155e+01                2.073562959e-01                      8.526680058e-01                    -1.053849725e+01                1.671974816e+15     1.670391426e+15        
1.150000000e+00       -1.057581265e+01            -6.392570464e-01                1.210225572e+01                2.169445638e-01                      8.871860254e-01                    -1.099812513e+01                1.665525690e+15     1.663960997e+15        
1.200000000e+00       -1.101834614e+01            -6.658927567e-01                1.260404664e+01                2.265471751e-01                      9.198077452e-01                    -1.145769172e+01                1.659098588e+15     1.657554917e+15        
1.250000000e+00       -1.146080820e+01            -6.925284669e-01                1.310390548e+01                2.361641511e-01                      9.505688138e-01                    -1.191717252e+01                1.652693463e+15     1.651173098e+15        
1.300000000e+00       -1.190317457e+01            -7.191641772e-01                1.360184312e+01                2.457955127e-01                      9.795043751e-01                    -1.237654324e+01                1.646310271e+15     1.644815449e+15        
1.350000000e+00       -1.234542116e+01            -7.457998874e-01                1.409787010e+01                2.554412808e-01                      1.006649057e+00                    -1.283577976e+01                1.639948970e+15     1.638481881e+15        
1.400000000e+00       -1.278752406e+01            -7.724355977e-01                1.459199662e+01                2.651014766e-01                      1.032036964e+00                    -1.329485818e+01                1.633609522e+15     1.632172306e+15        
1.450000000e+00       -1.322945956e+01            -7.990713080e-01                1.508423254e+01                2.747761207e-01                      1.055701669e+00                    -1.375375475e+01                1.627291889e+15     1.625886635e+15        
1.500000000e+00       -1.367120415e+01            -8.257070182e-01                1.557458738e+01                2.844652341e-01                      1.077676214e+00                    -1.421244593e+01                1.620996038e+15     1.619624781e+15        
1.550000000e+00       -1.411273449e+01            -8.523427285e-01                1.606307032e+01                2.941688375e-01                      1.097993105e+00                    -1.467090838e+01                1.614721937e+15     1.613386656e+15        
1.600000000e+00       -1.455402742e+01            -8.789784388e-01                1.654969018e+01                3.038869517e-01                      1.116684319e+00                    -1.512911891e+01                1.608469558e+15     1.607172172e+15        
1.650000000e+00       -1.499506000e+01            -9.056141490e-01                1.703445545e+01                3.136195972e-01                      1.133781302e+00                    -1.558705455e+01                1.602238873e+15     1.600981243e+15        
1.700000000e+00       -1.543580945e+01            -9.322498593e-01                1.751737428e+01                3.233667948e-01                      1.149314976e+00                    -1.604469251e+01                1.596029859e+15     1.594813781e+15        
1.750000000e+00       -1.587625319e+01            -9.588855696e-01                1.799845450e+01                3.331285649e-01                      1.163315749e+00                    -1.650201019e+01                1.589842495e+15     1.588669702e+15        
1.800000000e+00       -1.631636882e+01            -9.855212798e-01                1.847770361e+01                3.429049281e-01                      1.175813517e+00                    -1.695898517e+01                1.583676763e+15     1.582548918e+15        
1.850000000e+00       -1.675613414e+01            -1.012156990e+00                1.895512881e+01                3.526959048e-01                      1.186837682e+00                    -1.741559522e+01                1.577532647e+15     1.576451345e+15        
1.900000000e+00       -1.719552712e+01            -1.038792700e+00                1.943073698e+01                3.625015153e-01                      1.196417155e+00                    -1.787181831e+01                1.571410135e+15     1.570376898e+15        
1.950000000e+00       -1.763452595e+01            -1.065428411e+00                1.990453473e+01                3.723217801e-01                      1.204580371e+00                    -1.832763258e+01                1.565309215e+15     1.564325491e+15        
2.000000000e+00       -1.807310897e+01            -1.092064121e+00                2.037652840e+01                3.821567193e-01                      1.211355303e+00                    -1.878301637e+01                1.559229881e+15     1.558297040e+15        
2.050000000e+00       -1.851125474e+01            -1.118699831e+00                2.084672404e+01                3.920063532e-01                      1.216769473e+00                    -1.923794822e+01                1.553172128e+15     1.552291460e+15        
2.100000000e+00       -1.894894198e+01            -1.145335541e+00                2.131512749e+01                4.018707020e-01                      1.220849969e+00                    -1.969240682e+01                1.547135953e+15     1.546308670e+15        
2.150000000e+00       -1.938614962e+01            -1.171971252e+00                2.178174433e+01                4.117497857e-01                      1.223623457e+00                    -2.014637109e+01                1.541121357e+15     1.540348583e+15        
2.200000000e+00       -1.982285677e+01            -1.198606962e+00                2.224657993e+01                4.216436244e-01                      1.225116195e+00                    -2.059982011e+01                1.535128343e+15     1.534411119e+15        
2.250000000e+00       -2.025904273e+01            -1.225242672e+00                2.270963946e+01                4.315522379e-01                      1.225354051e+00                    -2.105273317e+01                1.529156917e+15     1.528496193e+15        
2.300000000e+00       -2.069468699e+01            -1.251878383e+00                2.317092789e+01                4.414756464e-01                      1.224362520e+00                    -2.150508972e+01                1.523207085e+15     1.522603723e+15        
2.350000000e+00       -2.112976921e+01            -1.278514093e+00                2.363045003e+01                4.514138696e-01                      1.222166733e+00                    -2.195686943e+01                1.517278859e+15     1.516733628e+15        
2.400000000e+00       -2.156426926e+01            -1.305149803e+00                2.408821054e+01                4.613669272e-01                      1.218791480e+00                    -2.240805214e+01                1.511372252e+15     1.510885825e+15        
2.450000000e+00       -2.199816720e+01            -1.331785513e+00                2.454421393e+01                4.713348391e-01                      1.214261220e+00                    -2.285861787e+01                1.505487278e+15     1.505060234e+15        
2.500000000e+00       -2.243144325e+01            -1.358421224e+00                2.499846458e+01                4.813176249e-01                      1.208600100e+00                    -2.330854685e+01                1.499623954e+15     1.499256772e+15        
2.550000000e+00       -2.286407786e+01            -1.385056934e+00                2.545096676e+01                4.913153042e-01                      1.201831968e+00                    -2.375781949e+01                1.493782300e+15     1.493475359e+15        
2.600000000e+00       -2.329605163e+01            -1.411692644e+00                2.590172466e+01                5.013278966e-01                      1.193980390e+00                    -2.420641637e+01                1.487962337e+15     1.487715915e+15        
2.650000000e+00       -2.372734536e+01            -1.438328354e+00                2.635074238e+01                5.113554215e-01                      1.185068663e+00                    -2.465431829e+01                1.482164088e+15     1.481978359e+15        
2.700000000e+00       -2.415794005e+01            -1.464964065e+00                2.679802394e+01                5.213978984e-01                      1.175119829e+00                    -2.510150622e+01                1.476387577e+15     1.476262611e+15        
2.750000000e+00       -2.458781688e+01            -1.491599775e+00                2.724357335e+01                5.314553466e-01                      1.164156692e+00                    -2.554796131e+01                1.470632832e+15     1.470568593e+15        
2.800000000e+00       -2.501695721e+01            -1.518235485e+00                2.768739453e+01                5.415277855e-01                      1.152201829e+00                    -2.599366491e+01                1.464899879e+15     1.464896224e+15        
2.850000000e+00       -2.544534261e+01            -1.544871195e+00                2.812949140e+01                5.516152342e-01                      1.139277601e+00                    -2.643859857e+01                1.459188748e+15     1.459245426e+15        
2.900000000e+00       -2.587295480e+01            -1.571506906e+00                2.856986788e+01                5.617177120e-01                      1.125406171e+00                    -2.688274400e+01                1.453499470e+15     1.453616120e+15        
2.950000000e+00       -2.629977574e+01            -1.598142616e+00                2.900852786e+01                5.718352379e-01                      1.110609512e+00                    -2.732608311e+01                1.447832075e+15     1.448008228e+15        
3.000000000e+00       -2.672578752e+01            -1.624778326e+00                2.944547527e+01                5.819678310e-01                      1.094909418e+00                    -2.776859802e+01                1.442186597e+15     1.442421672e+15        
3.050000000e+00       -2.715097247e+01            -1.651414036e+00                2.988071403e+01                5.921155103e-01                      1.078327518e+00                    -2.821027100e+01                1.436563068e+15     1.436856373e+15        
3.100000000e+00       -2.757531308e+01            -1.678049747e+00                3.031424811e+01                6.022782947e-01                      1.060885282e+00                    -2.865108454e+01                1.430961522e+15     1.431312256e+15        
