position   laser_energy  ion_state_Z  e_density   GVD         GDD        pulse_duration  peak_intensity  peak_E_field  e_temp_kT  ionization  ATI_energy  IB_energy  TS_energy  capillary
(m)        (J)           (arb.units)  (1/m^3)     (s^2/m)     (s^2)      (sec)           (W/m^2)         (V/m)         (J)        energy(J)   (J)         (J)        (J)        loss(J)
0.000E+00  8.300E-03     1.739        2.921E+23  -2.450E-28  -1.294E-32  4.000E-14       1.820E+19       1.171E+11     1.044E-18  3.740E-06   8.318E-07   1.536E-07  9.352E-12  3.631E-05
5.000E-05  8.259E-03     1.738        2.920E+23  -2.449E-28  -2.587E-32  4.000E-14       1.811E+19       1.168E+11     1.042E-18  3.737E-06   8.298E-07   1.531E-07  9.303E-12  3.613E-05
1.000E-04  8.218E-03     1.738        2.920E+23  -2.449E-28  -3.879E-32  4.000E-14       1.802E+19       1.165E+11     1.039E-18  3.734E-06   8.278E-07   1.526E-07  9.254E-12  3.595E-05
1.500E-04  8.177E-03     1.737        2.919E+23  -2.448E-28  -5.172E-32  4.000E-14       1.793E+19       1.162E+11     1.037E-18  3.731E-06   8.259E-07   1.521E-07  9.206E-12  3.578E-05
2.000E-04  8.137E-03     1.737        2.918E+23  -2.447E-28  -6.464E-32  4.000E-14       1.784E+19       1.159E+11     1.035E-18  3.728E-06   8.238E-07   1.516E-07  9.158E-12  3.560E-05
2.500E-04  8.097E-03     1.736        2.917E+23  -2.447E-28  -7.756E-32  4.000E-14       1.775E+19       1.156E+11     1.033E-18  3.725E-06   8.218E-07   1.511E-07  9.110E-12  3.542E-05
3.000E-04  8.057E-03     1.736        2.916E+23  -2.446E-28  -9.047E-32  4.000E-14       1.766E+19       1.154E+11     1.030E-18  3.722E-06   8.198E-07   1.507E-07  9.062E-12  3.525E-05
3.500E-04  8.017E-03     1.735        2.916E+23  -2.445E-28  -1.034E-31  4.000E-14       1.757E+19       1.151E+11     1.028E-18  3.719E-06   8.177E-07   1.502E-07  9.015E-12  3.507E-05
4.000E-04  7.977E-03     1.735        2.915E+23  -2.445E-28  -1.163E-31  4.000E-14       1.749E+19       1.148E+11     1.026E-18  3.717E-06   8.156E-07   1.497E-07  8.967E-12  3.490E-05
4.500E-04  7.937E-03     1.734        2.914E+23  -2.444E-28  -1.292E-31  4.000E-14       1.740E+19       1.145E+11     1.023E-18  3.714E-06   8.135E-07   1.493E-07  8.920E-12  3.473E-05
5.000E-04  7.898E-03     1.734        2.913E+23  -2.443E-28  -1.421E-31  4.000E-14       1.731E+19       1.142E+11     1.021E-18  3.711E-06   8.113E-07   1.489E-07  8.874E-12  3.455E-05
5.500E-04  7.859E-03     1.733        2.912E+23  -2.443E-28  -1.550E-31  4.000E-14       1.723E+19       1.139E+11     1.018E-18  3.708E-06   8.091E-07   1.484E-07  8.827E-12  3.438E-05
6.000E-04  7.820E-03     1.733        2.911E+23  -2.442E-28  -1.679E-31  4.000E-14       1.714E+19       1.136E+11     1.016E-18  3.705E-06   8.069E-07   1.480E-07  8.780E-12  3.421E-05
6.500E-04  7.781E-03     1.732        2.910E+23  -2.441E-28  -1.808E-31  4.000E-14       1.706E+19       1.134E+11     1.013E-18  3.702E-06   8.046E-07   1.476E-07  8.734E-12  3.404E-05
7.000E-04  7.742E-03     1.732        2.910E+23  -2.440E-28  -1.937E-31  4.000E-14       1.697E+19       1.131E+11     1.011E-18  3.699E-06   8.023E-07   1.472E-07  8.688E-12  3.387E-05
7.500E-04  7.703E-03     1.731        2.909E+23  -2.440E-28  -2.065E-31  4.000E-14       1.689E+19       1.128E+11     1.008E-18  3.696E-06   8.000E-07   1.468E-07  8.642E-12  3.370E-05
