position   laser_energy  ion_state_Z  e_density   GVD         GDD        pulse_duration  peak_intensity  peak_E_field  e_temp_kT  ionization  ATI_energy  IB_energy  TS_energy  capillary
(mm)       (mJ)          (arb.units)  (1/cm^3)    (fs^2/mm)   (fs^2)     (fs)            (W/cm^2)        (V/m)         (eV)       energy(mJ)  (mJ)        (mJ)       (mJ)       loss(mJ)
 0.000      7.055        1.674        5.624E+17  -4.718E-01  -2.428E-02  24.000          2.578E+15       1.394E+11     8.423E+00  8.364E-03   2.237E-03   3.980E-04  1.654E-08  3.069E-02
 0.050      7.013        1.671        5.615E+17  -4.710E-01  -4.851E-02  24.000          2.562E+15       1.390E+11     8.400E+00  8.325E-03   2.228E-03   3.953E-04  1.641E-08  3.051E-02
 0.100      6.972        1.668        5.606E+17  -4.703E-01  -7.271E-02  24.000          2.547E+15       1.385E+11     8.377E+00  8.289E-03   2.218E-03   3.925E-04  1.629E-08  3.033E-02
 0.150      6.931        1.666        5.597E+17  -4.696E-01  -9.687E-02  24.000          2.532E+15       1.381E+11     8.355E+00  8.253E-03   2.209E-03   3.898E-04  1.617E-08  3.015E-02
 0.200      6.890        1.663        5.589E+17  -4.689E-01  -1.210E-01  24.000          2.517E+15       1.377E+11     8.333E+00  8.219E-03   2.200E-03   3.872E-04  1.605E-08  2.997E-02
 0.250      6.849        1.661        5.581E+17  -4.682E-01  -1.451E-01  24.000          2.502E+15       1.373E+11     8.311E+00  8.185E-03   2.191E-03   3.846E-04  1.593E-08  2.979E-02
 0.300      6.808        1.659        5.573E+17  -4.676E-01  -1.692E-01  24.000          2.488E+15       1.369E+11     8.289E+00  8.153E-03   2.182E-03   3.820E-04  1.581E-08  2.962E-02
 0.350      6.768        1.656        5.566E+17  -4.669E-01  -1.932E-01  24.000          2.473E+15       1.365E+11     8.268E+00  8.122E-03   2.173E-03   3.795E-04  1.570E-08  2.944E-02
 0.400      6.728        1.654        5.558E+17  -4.663E-01  -2.172E-01  24.000          2.458E+15       1.361E+11     8.247E+00  8.092E-03   2.165E-03   3.771E-04  1.559E-08  2.927E-02
 0.450      6.688        1.652        5.551E+17  -4.657E-01  -2.412E-01  24.000          2.444E+15       1.357E+11     8.227E+00  8.063E-03   2.157E-03   3.747E-04  1.547E-08  2.909E-02
 0.500      6.648        1.650        5.544E+17  -4.651E-01  -2.651E-01  24.000          2.429E+15       1.353E+11     8.207E+00  8.034E-03   2.149E-03   3.723E-04  1.536E-08  2.892E-02
 0.550      6.609        1.648        5.538E+17  -4.646E-01  -2.890E-01  24.000          2.415E+15       1.349E+11     8.186E+00  8.007E-03   2.141E-03   3.700E-04  1.525E-08  2.875E-02
 0.600      6.570        1.646        5.531E+17  -4.640E-01  -3.129E-01  24.000          2.400E+15       1.345E+11     8.167E+00  7.981E-03   2.133E-03   3.677E-04  1.515E-08  2.858E-02
 0.650      6.530        1.644        5.525E+17  -4.635E-01  -3.368E-01  24.000          2.386E+15       1.341E+11     8.147E+00  7.956E-03   2.126E-03   3.654E-04  1.504E-08  2.841E-02
 0.700      6.492        1.643        5.519E+17  -4.630E-01  -3.606E-01  24.000          2.372E+15       1.337E+11     8.127E+00  7.931E-03   2.119E-03   3.632E-04  1.493E-08  2.824E-02
 0.750      6.453        1.641        5.513E+17  -4.625E-01  -3.844E-01  24.000          2.358E+15       1.333E+11     8.108E+00  7.908E-03   2.111E-03   3.611E-04  1.483E-08  2.807E-02
 0.800      6.415        1.639        5.508E+17  -4.621E-01  -4.082E-01  24.000          2.344E+15       1.329E+11     8.089E+00  7.885E-03   2.104E-03   3.589E-04  1.472E-08  2.790E-02
 0.850      6.376        1.638        5.502E+17  -4.616E-01  -4.320E-01  24.000          2.330E+15       1.325E+11     8.070E+00  7.863E-03   2.097E-03   3.569E-04  1.462E-08  2.774E-02
 0.900      6.338        1.636        5.497E+17  -4.612E-01  -4.557E-01  24.000          2.316E+15       1.321E+11     8.051E+00  7.842E-03   2.090E-03   3.548E-04  1.452E-08  2.757E-02
 0.950      6.300        1.635        5.492E+17  -4.607E-01  -4.794E-01  24.000          2.302E+15       1.317E+11     8.032E+00  7.821E-03   2.083E-03   3.528E-04  1.442E-08  2.741E-02
 1.000      6.263        1.633        5.487E+17  -4.603E-01  -5.031E-01  24.000          2.288E+15       1.313E+11     8.013E+00  7.801E-03   2.077E-03   3.508E-04  1.432E-08  2.724E-02
 1.050      6.225        1.632        5.482E+17  -4.599E-01  -5.268E-01  24.000          2.275E+15       1.309E+11     7.994E+00  7.782E-03   2.070E-03   3.489E-04  1.422E-08  2.708E-02
 1.100      6.188        1.630        5.478E+17  -4.595E-01  -5.505E-01  24.000          2.261E+15       1.305E+11     7.976E+00  7.764E-03   2.063E-03   3.470E-04  1.413E-08  2.692E-02
 1.150      6.151        1.629        5.474E+17  -4.592E-01  -5.741E-01  24.000          2.247E+15       1.301E+11     7.957E+00  7.746E-03   2.057E-03   3.451E-04  1.403E-08  2.676E-02
 1.200      6.114        1.628        5.469E+17  -4.588E-01  -5.977E-01  24.000          2.234E+15       1.297E+11     7.938E+00  7.729E-03   2.050E-03   3.433E-04  1.394E-08  2.660E-02
 1.250      6.077        1.627        5.465E+17  -4.585E-01  -6.213E-01  24.000          2.220E+15       1.293E+11     7.920E+00  7.713E-03   2.044E-03   3.415E-04  1.384E-08  2.644E-02
 1.300      6.041        1.625        5.461E+17  -4.581E-01  -6.449E-01  24.000          2.207E+15       1.290E+11     7.901E+00  7.697E-03   2.038E-03   3.397E-04  1.375E-08  2.628E-02
 1.350      6.004        1.624        5.457E+17  -4.578E-01  -6.685E-01  24.000          2.194E+15       1.286E+11     7.882E+00  7.681E-03   2.032E-03   3.380E-04  1.366E-08  2.612E-02
 1.400      5.968        1.623        5.454E+17  -4.575E-01  -6.921E-01  24.000          2.181E+15       1.282E+11     7.863E+00  7.667E-03   2.025E-03   3.363E-04  1.357E-08  2.596E-02
 1.450      5.932        1.622        5.450E+17  -4.572E-01  -7.156E-01  24.000          2.167E+15       1.278E+11     7.845E+00  7.652E-03   2.019E-03   3.346E-04  1.348E-08  2.580E-02
 1.500      5.896        1.621        5.447E+17  -4.569E-01  -7.391E-01  24.000          2.154E+15       1.274E+11     7.826E+00  7.639E-03   2.013E-03   3.329E-04  1.339E-08  2.565E-02
 1.550      5.861        1.620        5.443E+17  -4.567E-01  -7.627E-01  24.000          2.141E+15       1.270E+11     7.807E+00  7.625E-03   2.007E-03   3.313E-04  1.330E-08  2.549E-02
 1.600      5.825        1.619        5.440E+17  -4.564E-01  -7.862E-01  24.000          2.128E+15       1.266E+11     7.788E+00  7.613E-03   2.001E-03   3.298E-04  1.321E-08  2.534E-02
 1.650      5.790        1.618        5.437E+17  -4.561E-01  -8.097E-01  24.000          2.115E+15       1.263E+11     7.769E+00  7.600E-03   1.995E-03   3.282E-04  1.312E-08  2.519E-02
 1.700      5.755        1.617        5.434E+17  -4.559E-01  -8.331E-01  24.000          2.103E+15       1.259E+11     7.749E+00  7.588E-03   1.989E-03   3.267E-04  1.303E-08  2.503E-02
 1.750      5.720        1.616        5.431E+17  -4.556E-01  -8.566E-01  24.000          2.090E+15       1.255E+11     7.730E+00  7.577E-03   1.983E-03   3.252E-04  1.295E-08  2.488E-02
 1.800      5.685        1.616        5.428E+17  -4.554E-01  -8.801E-01  24.001          2.077E+15       1.251E+11     7.710E+00  7.566E-03   1.977E-03   3.238E-04  1.286E-08  2.473E-02
 1.850      5.651        1.615        5.426E+17  -4.552E-01  -9.035E-01  24.001          2.065E+15       1.247E+11     7.690E+00  7.555E-03   1.971E-03   3.223E-04  1.278E-08  2.458E-02
 1.900      5.616        1.614        5.423E+17  -4.549E-01  -9.269E-01  24.001          2.052E+15       1.243E+11     7.670E+00  7.544E-03   1.964E-03   3.209E-04  1.269E-08  2.443E-02
 1.950      5.582        1.613        5.420E+17  -4.547E-01  -9.503E-01  24.001          2.039E+15       1.240E+11     7.650E+00  7.534E-03   1.958E-03   3.196E-04  1.261E-08  2.428E-02
 2.000      5.548        1.612        5.418E+17  -4.545E-01  -9.738E-01  24.001          2.027E+15       1.236E+11     7.629E+00  7.524E-03   1.952E-03   3.182E-04  1.253E-08  2.413E-02
 2.050      5.514        1.612        5.415E+17  -4.543E-01  -9.972E-01  24.001          2.015E+15       1.232E+11     7.608E+00  7.514E-03   1.946E-03   3.169E-04  1.244E-08  2.399E-02
 2.100      5.480        1.611        5.413E+17  -4.541E-01  -1.021E+00  24.001          2.002E+15       1.228E+11     7.587E+00  7.505E-03   1.940E-03   3.156E-04  1.236E-08  2.384E-02
 2.150      5.447        1.610        5.410E+17  -4.539E-01  -1.044E+00  24.001          1.990E+15       1.224E+11     7.566E+00  7.496E-03   1.933E-03   3.143E-04  1.228E-08  2.369E-02
 2.200      5.413        1.610        5.408E+17  -4.537E-01  -1.067E+00  24.001          1.978E+15       1.221E+11     7.544E+00  7.487E-03   1.927E-03   3.131E-04  1.220E-08  2.355E-02
 2.250      5.380        1.609        5.406E+17  -4.535E-01  -1.091E+00  24.001          1.966E+15       1.217E+11     7.522E+00  7.477E-03   1.920E-03   3.119E-04  1.212E-08  2.340E-02
 2.300      5.347        1.608        5.403E+17  -4.533E-01  -1.114E+00  24.001          1.953E+15       1.213E+11     7.499E+00  7.468E-03   1.914E-03   3.107E-04  1.204E-08  2.326E-02
 2.350      5.314        1.607        5.401E+17  -4.531E-01  -1.137E+00  24.001          1.941E+15       1.209E+11     7.476E+00  7.460E-03   1.907E-03   3.095E-04  1.196E-08  2.311E-02
 2.400      5.281        1.607        5.398E+17  -4.529E-01  -1.161E+00  24.001          1.929E+15       1.206E+11     7.453E+00  7.450E-03   1.900E-03   3.083E-04  1.188E-08  2.297E-02
 2.450      5.248        1.606        5.396E+17  -4.527E-01  -1.184E+00  24.001          1.917E+15       1.202E+11     7.430E+00  7.441E-03   1.893E-03   3.072E-04  1.180E-08  2.283E-02
 2.500      5.216        1.605        5.393E+17  -4.525E-01  -1.207E+00  24.001          1.906E+15       1.198E+11     7.405E+00  7.432E-03   1.886E-03   3.061E-04  1.172E-08  2.269E-02
 2.550      5.184        1.604        5.391E+17  -4.522E-01  -1.231E+00  24.001          1.894E+15       1.195E+11     7.381E+00  7.423E-03   1.879E-03   3.050E-04  1.165E-08  2.255E-02
 2.600      5.151        1.604        5.388E+17  -4.520E-01  -1.254E+00  24.002          1.882E+15       1.191E+11     7.356E+00  7.413E-03   1.872E-03   3.039E-04  1.157E-08  2.241E-02
 2.650      5.119        1.603        5.385E+17  -4.518E-01  -1.277E+00  24.002          1.870E+15       1.187E+11     7.330E+00  7.403E-03   1.864E-03   3.028E-04  1.149E-08  2.227E-02
 2.700      5.088        1.602        5.382E+17  -4.515E-01  -1.300E+00  24.002          1.859E+15       1.183E+11     7.304E+00  7.393E-03   1.857E-03   3.017E-04  1.141E-08  2.213E-02
 2.750      5.056        1.601        5.379E+17  -4.513E-01  -1.324E+00  24.002          1.847E+15       1.180E+11     7.277E+00  7.382E-03   1.849E-03   3.007E-04  1.134E-08  2.199E-02
 2.800      5.024        1.600        5.376E+17  -4.510E-01  -1.347E+00  24.002          1.836E+15       1.176E+11     7.250E+00  7.371E-03   1.841E-03   2.996E-04  1.126E-08  2.186E-02
 2.850      4.993        1.599        5.372E+17  -4.507E-01  -1.370E+00  24.002          1.824E+15       1.172E+11     7.223E+00  7.359E-03   1.833E-03   2.986E-04  1.118E-08  2.172E-02
 2.900      4.962        1.598        5.369E+17  -4.504E-01  -1.393E+00  24.002          1.813E+15       1.169E+11     7.194E+00  7.347E-03   1.824E-03   2.975E-04  1.110E-08  2.158E-02
 2.950      4.931        1.597        5.365E+17  -4.501E-01  -1.416E+00  24.002          1.801E+15       1.165E+11     7.165E+00  7.334E-03   1.815E-03   2.965E-04  1.102E-08  2.145E-02
 3.000      4.900        1.595        5.361E+17  -4.497E-01  -1.440E+00  24.002          1.790E+15       1.161E+11     7.136E+00  7.320E-03   1.807E-03   2.954E-04  1.095E-08  2.131E-02
 3.050      4.869        1.594        5.356E+17  -4.493E-01  -1.463E+00  24.002          1.779E+15       1.158E+11     7.106E+00  7.305E-03   1.797E-03   2.943E-04  1.087E-08  2.118E-02
